id,artist_id,name,album_type,external_urls,label,popularity,release_date,release_date_precision,total_tracks
4Q7cRXio6mF2ImVUCcezPO,3TVXtAsR1Inumwj472S9r4,For All The Dogs Scary Hours Edition,album,https://open.spotify.com/album/4Q7cRXio6mF2ImVUCcezPO,OVO/Republic,73,2023-11-17,day,29
1Khdy0BbHmXrL4C2SLTKGi,4LLpKhyESsyAXpc4laK94U,Watching Movies with the Sound Off (10th Anniversary),album,https://open.spotify.com/album/1Khdy0BbHmXrL4C2SLTKGi,Rostrum Records,54,2023-06-23,day,21
0ptlfJfwGTy0Yvrk14JK1I,3TVXtAsR1Inumwj472S9r4,If You're Reading This It's Too Late,album,https://open.spotify.com/album/0ptlfJfwGTy0Yvrk14JK1I,Cash Money Records/Young Money Ent./Universal Rec.,76,2015-02-12,day,17
2ZUFSbIkmFkGag000RWOpA,3TVXtAsR1Inumwj472S9r4,Nothing Was The Same (Deluxe),album,https://open.spotify.com/album/2ZUFSbIkmFkGag000RWOpA,Cash Money Records/Young Money Ent./Universal Rec.,74,2013-01-01,day,16
1XslIirSxfAhhxRdn4Li9t,3TVXtAsR1Inumwj472S9r4,Nothing Was The Same,album,https://open.spotify.com/album/1XslIirSxfAhhxRdn4Li9t,Cash Money Records/Young Money Ent./Universal Rec.,72,2013-01-01,day,13
6X1x82kppWZmDzlXXK3y3q,3TVXtAsR1Inumwj472S9r4,Take Care (Deluxe),album,https://open.spotify.com/album/6X1x82kppWZmDzlXXK3y3q,Cash Money Records/Young Money Ent./Universal Rec.,84,2011-11-15,day,19
6agmeioaDOBupymziJihgB,3TVXtAsR1Inumwj472S9r4,Thank Me Later (Int'l Version),album,https://open.spotify.com/album/6agmeioaDOBupymziJihgB,Cash Money Records/Young Money Ent./Universal Rec.,66,2010-01-01,day,15
1LShhEEKRT5MNPcO7jtYHh,3TVXtAsR1Inumwj472S9r4,So Far Gone,album,https://open.spotify.com/album/1LShhEEKRT5MNPcO7jtYHh,Young Money/Cash Money Records,74,2009,year,18
78NIQe42qKXahAeZAb3w0h,3TVXtAsR1Inumwj472S9r4,No Face,single,https://open.spotify.com/album/78NIQe42qKXahAeZAb3w0h,OVO,73,2024-08-31,day,1
5oT8PMXGWiPlhcl930fkII,3TVXtAsR1Inumwj472S9r4,100 GIGS,single,https://open.spotify.com/album/5oT8PMXGWiPlhcl930fkII,OVO/Republic,78,2024-08-30,day,3
69eqA59bgh09wQ2MT1AlnL,3TVXtAsR1Inumwj472S9r4,Sideways,single,https://open.spotify.com/album/69eqA59bgh09wQ2MT1AlnL,"Ultra Records, LLC",54,2024-07-26,day,1
5H7ixXZfsNMGbIE5OBSpcb,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,album,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb,Taylor Swift,93,2024-04-19,day,31
1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,album,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt,Taylor Swift,90,2024-04-18,day,16
1o59UpKw81iHR0HPiSkJR0,06HL4z0CvFAxyc27GXpf02,1989 (Taylor's Version) [Deluxe],album,https://open.spotify.com/album/1o59UpKw81iHR0HPiSkJR0,Taylor Swift,78,2023-10-27,day,22
64LU4c1nfjz1t4VnGhagcg,06HL4z0CvFAxyc27GXpf02,1989 (Taylor's Version),album,https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg,Taylor Swift,87,2023-10-26,day,21
5AEDGbliTTfjOB8TSm1sxt,06HL4z0CvFAxyc27GXpf02,Speak Now (Taylor's Version),album,https://open.spotify.com/album/5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,85,2023-07-07,day,22
1fnJ7k0bllNfL1kVdNVW1A,06HL4z0CvFAxyc27GXpf02,Midnights (The Til Dawn Edition),album,https://open.spotify.com/album/1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,79,2023-05-26,day,23
3lS1y25WAhcqJDATJK70Mq,06HL4z0CvFAxyc27GXpf02,Midnights (3am Edition),album,https://open.spotify.com/album/3lS1y25WAhcqJDATJK70Mq,Taylor Swift,78,2022-10-22,day,20
151w1FgRZfnKZA9FEcg9Z3,06HL4z0CvFAxyc27GXpf02,Midnights,album,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3,Taylor Swift,86,2022-10-21,day,13
6kZ42qRrzov54LcAk4onW9,06HL4z0CvFAxyc27GXpf02,Red (Taylor's Version),album,https://open.spotify.com/album/6kZ42qRrzov54LcAk4onW9,Taylor Swift,87,2021-11-12,day,30
4hDok0OAJd57SGIT8xuWJH,06HL4z0CvFAxyc27GXpf02,Fearless (Taylor's Version),album,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH,Taylor Swift,84,2021-04-09,day,26
6AORtDjduMM3bupSWzbTSG,06HL4z0CvFAxyc27GXpf02,evermore (deluxe version),album,https://open.spotify.com/album/6AORtDjduMM3bupSWzbTSG,TS/Republic,80,2021-01-07,day,17
2Xoteh7uEpea4TohMxjtaq,06HL4z0CvFAxyc27GXpf02,evermore,album,https://open.spotify.com/album/2Xoteh7uEpea4TohMxjtaq,Taylor Swift,81,2020-12-11,day,15
0PZ7lAru5FDFHuirTkWe9Z,06HL4z0CvFAxyc27GXpf02,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],album,https://open.spotify.com/album/0PZ7lAru5FDFHuirTkWe9Z,Taylor Swift,68,2020-11-25,day,34
1pzvBxYgT6OVwJLtHkrdQK,06HL4z0CvFAxyc27GXpf02,folklore (deluxe version),album,https://open.spotify.com/album/1pzvBxYgT6OVwJLtHkrdQK,Taylor Swift,79,2020-08-18,day,17
6DEjYFkNZh67HP7R9PSZvv,06HL4z0CvFAxyc27GXpf02,reputation,album,https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv,"Big Machine Records, LLC",89,2017-11-10,day,15
1MPAXuTVL2Ej5x0JHiSPq8,06HL4z0CvFAxyc27GXpf02,reputation Stadium Tour Surprise Song Playlist,album,https://open.spotify.com/album/1MPAXuTVL2Ej5x0JHiSPq8,"Big Machine Records, LLC",73,2017-11-09,day,46
1yGbNOtRIgdIiGHOEBaZWf,06HL4z0CvFAxyc27GXpf02,1989 (Deluxe),album,https://open.spotify.com/album/1yGbNOtRIgdIiGHOEBaZWf,"Big Machine Records, LLC",81,2014-01-01,day,19
3RQQmkQEvNCY4prGKE6oc5,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,album,https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5,Rimas Entertainment LLC,92,2022-05-06,day,23
2d9BCZeAAhiZWPpbX9aPCW,4q3ewBCX7sLwd24euuV69X,EL ÚLTIMO TOUR DEL MUNDO,album,https://open.spotify.com/album/2d9BCZeAAhiZWPpbX9aPCW,Rimas Entertainment LLC,83,2020-11-27,day,16
4gvQO5mEuhbMSrLIuwXkmz,4q3ewBCX7sLwd24euuV69X,LAS QUE NO IBAN A SALIR,album,https://open.spotify.com/album/4gvQO5mEuhbMSrLIuwXkmz,Rimas Entertainment LLC,69,2020-05-10,day,10
5lJqux7orBlA1QzyiBGti1,4q3ewBCX7sLwd24euuV69X,YHLQMDLG,album,https://open.spotify.com/album/5lJqux7orBlA1QzyiBGti1,Rimas Entertainment LLC,86,2020-02-29,day,20
5LNX3esjvdBJ6hN4XDvCJn,4LLpKhyESsyAXpc4laK94U,"I Love Life, Thank You",album,https://open.spotify.com/album/5LNX3esjvdBJ6hN4XDvCJn,Rostrum Records,71,2022-07-22,day,13
7CjJb2mikwAWA1V6kewFBF,4q3ewBCX7sLwd24euuV69X,X 100PRE,album,https://open.spotify.com/album/7CjJb2mikwAWA1V6kewFBF,Rimas Entertainment LLC,82,2018-12-23,day,15
2HQzboxa5GyWpk2aiPP5i6,4q3ewBCX7sLwd24euuV69X,Una Velita,single,https://open.spotify.com/album/2HQzboxa5GyWpk2aiPP5i6,Rimas Entertainment LLC.,72,2024-09-19,day,1
5SKnXCvB4fcGSZu32o3LRY,4LLpKhyESsyAXpc4laK94U,Faces,album,https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY,Warner Records,67,2021-10-15,day,25
