external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'},"{'href': None, 'total': 92692057}","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9', 'width': 160}]",Drake,96,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 124005415}",['pop'],https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e672b5f553298dcdccb0e676', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676', 'width': 160}]",Taylor Swift,100,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
{'spotify': 'https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X'},"{'href': None, 'total': 86371464}","['reggaeton', 'trap latino', 'urbano latino']",https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X,4q3ewBCX7sLwd24euuV69X,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174744a4243fb6cc938011a98f4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178744a4243fb6cc938011a98f4', 'width': 160}]",Bad Bunny,95,artist,spotify:artist:4q3ewBCX7sLwd24euuV69X
{'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'},"{'href': None, 'total': 92947049}","['canadian contemporary r&b', 'canadian pop', 'pop']",https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749e528993a2820267b97f6aae', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789e528993a2820267b97f6aae', 'width': 160}]",The Weeknd,96,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
{'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'},"{'href': None, 'total': 78106982}","['canadian pop', 'pop']",https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748ae7f2aaa9817a704a87ea36', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36', 'width': 160}]",Justin Bieber,91,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s
{'spotify': 'https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V'},"{'href': None, 'total': 116633221}","['pop', 'singer-songwriter pop', 'uk pop']",https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174784daff754ecfe0464ddbeb9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178784daff754ecfe0464ddbeb9', 'width': 160}]",Ed Sheeran,89,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
{'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'},"{'href': None, 'total': 91784173}","['detroit hip hop', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,7dGJo4pcD2V6oG8kP0tJRR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b', 'width': 160}]",Eminem,93,artist,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
{'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'},"{'href': None, 'total': 33771259}","['rap', 'slap house']",https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY,0Y5tJX1MQlPlqiwlOH1tJY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517419c2790744c792d05570bb71', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17819c2790744c792d05570bb71', 'width': 160}]",Travis Scott,94,artist,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
{'spotify': 'https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR'},"{'href': None, 'total': 100498775}",['pop'],https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517440b5c07ab77b6b1a9075fdc0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17840b5c07ab77b6b1a9075fdc0', 'width': 160}]",Ariana Grande,92,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},"{'href': None, 'total': 27603874}","['chicago rap', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746e835a500e791bf9c27a422a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786e835a500e791bf9c27a422a', 'width': 160}]",Kanye West,93,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
